,name,content,reconmended,posted
10,Chudah™,"
This game has me emotional in a way I can’t explain. I’ve loved the Resident Evil series with a fiery passion ever since I played my very first entry with Code Veronica X on the PS2. After I finished playing the hell out of that game, I devoured every Resident Evil title I could get my hands on and was a dedicated fan (even wrote my share of fan fiction) all the way up until Resident Evil 6, which thoroughly ripped my heart to shreds with what the series had become. While RE7 was something of a return to form despite the first person perspective, it was missing the one thing I loved so much about these games; the characters. I didn't realize until now how badly I missed my time with them, but stepping into Leon S. Kennedy and Claire Redfield’s shoes again felt like coming home.

CLAIRE!!! 
A Screenshot of Resident Evil 2
By: Chudah™

That said, I was terrified that like so many overly-hyped, high profile titles these days, that Resident Evil 2 would stumble and miss the mark. But let me tell you, they nailed it. THEY NAILED IT! Granted, the story has been somewhat simplified, and the B scenarios feel rushed and a bit tacked on (likely a result of the devs not wanting to disappoint the fans when word leaked that they wouldn’t be included), but those are miniscule grievances when the rest of the game is so supremely satisfying. Everything that I loved about the series is back, and it all looks, sounds and feels so good that I’m literally getting choked up right now just typing this.

Even the swap to over-the-shoulder camera feels fitting and natural, and I’ve long been a champion of fixed camera angles. But the way the action is framed, the long, dark, endless corridors, the creatures that lurk in the shadows, the terrifying sounds they make, it all makes up for the loss. Fortunately, the characters don’t move with quite as much agility as they do in post-RE4 titles either. There’s no dodge button, no quick time events, no counterattacks. If you’re grabbed by a zombie, you either shove a grenade down its throat or suffer the consequences. This heightens the suspense tremendously. No matter how heinous the foe, you need to tread carefully, and wisely.


And that's not even mentioning how much better the writing and acting is. The dialogue actually sounds somewhat believable, albeit cliche at times, and the interactions between characters are so much more organic than they used to be (thank goodness there’s no “I love you” moment…) All of this is elevated by the voice actors giving great performances which really help bring these characters to life. We already know who bad-♥♥♥ super agent Leon S. Kennedy is, but it’s refreshing watching the rookie cop become the man we all know and love.

I honestly could continue gushing about the game for several more paragraphs, but there’s already thousands of reviews that’ll say the exact same thing. So I’ll just say this; if you’re an old school Resident Evil fan and you can get past the modernization of a classic, then you need to play this game. YOU NEED IT! This is old school survival horror in a gorgeous new wrapping, and every bit as good as the original.",Recommended," February 1, 2019"
11,Hyperchaotic,"
That's how remake is done",Recommended," December 15, 2019"
12,JTeghius Kittius,"
I've played the game for about 175 hours as of writing, got 100% of the achievements, made around 60 mods for this game in about a year... I guess you could say I like the game.

Katherine is best girl. Don't @ me",Recommended, March 15
13,Shadgam™,"
Resident Evil 2: Remake is a fun and tension filled homage to classic Resident Evil games with an excellent modern twist.

Speaking from a guy who has only played Resident Evil 4 and 5 and never experienced the true survival horror capabilities the Resident Evil franchise has to offer i’d say the game is perfect for anybody curious about diving into the series as well as being satisfying for long time fans.

+Pros

+Gameplay
Instead of the fixed camera angles the first RE2 had this version is updated into a 3rd person perspective allowing for a more organic and natural feel for gameplay. Despite the perspective changes you’ll often find the game to still be quite claustrophobic as many zombies will try and snuggle up with you while in a small corridor so no worries there.

Shooting is the same in this game as the other Resident Evil titles so make sure to position yourself carefully and aim for the head so you suddenly don’t find yourself with a chunk of your flesh missing.

The game also allows you to be a little creative when dealing with zombies. So say you want to shoot them but don’t want to use too much ammo, you can also shoot them in the legs and disable them so it’s easier to run away and trust me it’s quite fun to do.

Still though, running away is still the most optimal way to play the game as ammo and healing items are worth their weight in gold, especially on hardcore difficulty, and it’s best not to waste them by fighting every zombie you come across.

You’ll also find various puzzles you’ll need to solve in order to progress through the game. The best addition to this game is that whenever you fully explore a room, the room will then be colored blue telling you that all possible items have been retrieved so if you ever want to find out where to probably check out next just check your map and you’re on your way.

All in all, the gameplay is fantastic and definitely can keep you on edge throughout your entire playtime.

This game is absolutely meant to be experienced with headphones as it really adds to the horror factor hearing the zombies constantly banging their hands on windows and doors trying to break into the police station and it also helps gameplay wise when a zombie you thought was dead suddenly starts snarling back to life.


The game looks absolutely gorgeous as you’ll soon find out that with every bullet you put inside a zombies dome the blood and character models on the zombies look both beautiful and terrifying at the same time.

The lighting is also top notch as most of the areas you’ll explore are very dark and you’ll make use of a flashlight in order to navigate and it can be seen that a lot of effort has been made to make sure it looks both good and is functional for gameplay.

Facial animations during cutscenes and the environment you’ll explore is also well polished and pleasing to the eyes.

Just by examining a general overview of the entire story so far and all the lore the Resident Evil series has established so far it can be seen as a little convoluted and ridiculous even for people who are long time fans of the series.

However, seeing as how the story has just relatively begun, the story is more simplistic and easier to follow as well as a few changes being made in this game to streamline the action.


As you do get to play as both Claire and Leon in the game it can lead to a few slight problems with the continuity in the story.

For example, who got into the police station first? Who met Sherry first? Are there multiple Mr. X’s?

Small stuff like that that continues to make the timeline a bit skewed here and there.

The actual game itself is very short as it would only take me about 13 hours to fully complete both Leon A and Claire B and that includes running around getting all of the collectibles. If you play on hardcore difficulty it may take you a bit longer but for a standard playthough you should be able to beat the game relatively quickly.

Now while there is replay value in playing throughout all the different routes if you’re a one time playthrough kind of person, you may lose some value in this game.

Resident Evil 2: Remake works both as a fun action/zombie game and tension filled, survival horror as you’ll constantly be on your toes as zombies will barge through doors and windows to get a taste of your delicious meaty flesh. Story is also easy enough to understand so anybody can dive right in without any prior knowledge as to who these people are and how they stand in the franchise.


All in all, if you’re like me and just want to find out what all the fuss was about it’s definitely worth a pick up at full price and for long time fans you’ll feel right at home",Recommended," November 27, 2019"
14,SpawnJr,"
Resident evil 3 please thank you...",Recommended," June 19, 2019"
15,Nosfenas,"
Still waiting for resident evil 3 remake",Recommended," October 9, 2019"
16,Audish,"
To me, one of the trickiest balances in game design is the split between fun and challenge. It’s fun to be challenged, but too much challenge can take a serious bite out of the fun. Stressful games like Dark Souls and Darkest Dungeon have found success by finding players that will accept them on their own unique terms, but that’s not the only way to bridge the gap. I know that now because of Resident Evil 2, a game that can be stressful, terrifying, and incredibly fun all at once. Honestly I didn’t even think it was possible to thread that needle so effectively, but RE2 has the magic touch that can push you to your breaking point and make you love every second of it.

Something has gone terribly, terribly wrong in Raccoon City. A vicious, unstoppable virus has torn through the town, leaving the residents either dead or undying. It’s a hell of a first day on the force for rookie cop Leon Kennedy, and a huge complication in Claire Redfield’s search for her brother. Their paths will cross several times in this chaos, as they search for both answers and escape. The architects of this disaster are still at large, and may be closer than either Leon or Claire would think, along with some shadowy figures who have their own interests here. But there’s a ruined city, a litany of puzzling obstacles, and countless zombies between them and their goal, and it’s going to take a little luck and whole lot of nerve to get through.

For the record, I never played the original Resident Evil 2, and I haven’t even played any versions of the first game in the series. I’m jumping into this with only some basic cultural literacy here, but RE2 is perfectly accommodating to newcomers. The plot is perfectly simple at its core: zombies everywhere, don’t die. I understand there are plenty of references to other games in the details, but you definitely don’t need to study the wiki to shoot zombies and collect crests. Indeed, the quality of the game’s cutscenes and voice acting is so incredibly high that you’ll surely find yourself engrossed in the unfolding drama regardless of your background knowledge. The presentation here does a ton to sell the experience of a zombie apocalypse, and heighten the tension or humanize situations when most effective.

The real star of the show, though, is the action. Following an intense intro that wastes exactly no time getting to the good stuff, you’ll find yourself in a vast police station that’s all kinds of falling apart. Zombies are breaking in the windows, crawling out of the vents, and laying in wait for their next meal. As Leon or Claire, you’ve only got what you can find to deal with them, which includes a very modest amount of weapons, ammunition, tools, and medicine. Your foes in this game are not the mindless hordes you might be accustomed to from other zombie titles, as they can take bullet after bullet to the head without breaking their pace. Every single undead is an existential threat to you, with the potential to take your health from full to zero if you don’t take them seriously. You won’t have the resources to dispatch every single zombie, either, so resource management is absolutely essential.

And this all goes double for the more exotic foes you’ll face as you descend deeper into the mystery! The result is a game that’s intensely stressful every single time you depart from a safe room, that can terrify you simply by putting a common enemy in an uncommon place and letting them do what they do. Your life is threatened here in a way most horror games don’t have the gumption to do, because not only can the monsters kill you, defeating the monsters badly can kill you. Being far away from your save point or stash of items with no bullets or no healing items is terrifying unlike any jump scare or chase scene, and perfectly evokes the true horror of zombie media, that of inevitable doom. That feeling only gets stronger when the game reveals more of its threats, one of which has become iconic in how it heralds your absolute downfall.

Resident Evil 2 is chock full of sequences you don’t want to go through. You’ll see things through windows or on your map that you know will be total nightmares to endure. And you’ll do it, because the experience is so rewarding. The tight over-the-shoulder controls and aiming give you all the tools you need to use every bullet effectively and dodge past foes. Weapon impacts are forceful and meaty, and if you’re any sort of gorehound then you’ll be treated to some top-tier blood and viscera as the bullets fly. Seriously, I have never seen a game that modeled bullet impacts on heads so effectively, and if it wasn’t happening to zombies I’m not sure I could handle it. But getting that lucky shot that splits an undead’s head like a watermelon is all the more gratifying for the absurd explosion of flesh that announces it.

Really, this is about as close as you can get to the perfect zombie survival game, if slow zombies, thin resources, and risky combat are what you’re looking for. And there’s tons of it to experience, too, with the A and B routes for both characters that reveal different bits of the story and offer different challenges. There are additional modes as well, and a fair number of unexpected twists and secrets along the way, all of which should last you dozens of hours to uncover. The only reason you’d punch out early from this one is to give yourself a breather, though, because it’s an absolute master class in turning stress and challenge into pure fun.



Did you enjoy this review? I certainly hope so, and I certainly hope you'll check out more of them at or on my !",Recommended," December 26, 2019"
17,ThirteenAG,"
Preordering RE3 Remake now...",Recommended," January 26, 2019"
18,Kivano007,"
Mr.X and Lickers in one hallway 11/10",Recommended," January 28, 2019"
19,Zeebrax the Astral Lifejacket,"
Far less flamboyant than the later entries, RE2 takes us back to those simple days when Leon wasn't an unstoppable somersaulting action hero, and merely a few zombie bites could put him down for the count. This is true survival horror (not that I have a problem with action RE; actually, I friggin' love it). Movement is slow and cumbersome. Ammo is limited. Even knives -- I primarily used mine to fillet downed zombos and save shells -- break readily, and unless you play it close, it's easy to be left with nothing. The creatures in this game are complete bullet sponges, so stay calm and watch your aim! It's no mean feat to center your reticle on the noggin of a shuffling undead when he's swinging it around like Will Smith in the Fresh Prince of Bel Air opening.

What you've probably heard most about is Mr. X: an unkillable, wrinkly terminator guy in a cute detective hat who pursues you, slow-stridin' Jason Vorhees-style, through select portions of the game. If you've played Haunting Ground or Clocktower 3, it's nothing quite so elaborate; you can't hide behind credenzas or distract him with fine chocolates, only run away (and smack-dab into the claws of a licker), and if he catches you, he simply karate punches you into the afterlife with his big meaty fist. It's that stressful kind of fun that opens up your adrenal glands and makes you scream ""I hate it! I hate it!"" like a small, spoiled child. But you love it, really, because it makes you feel inside, and that's what these games are all about. Watching your brother/friend play is just as engrossing as playing yourself.

If you're an RE fan, make sure to go through both segments. They're pretty similar, but each has its own supporting characters, one radically different side-story in the middle, and a unique final boss. If for some reason you can only play , pick Claire's. It's got the most meat.

Speaking of meat, the opening shot in this game? It's a super close-up of the most disgusting, detailed, squishiest, greasiest fast food burger I've seen in a video game. That's got to be a first!",Recommended, March 27
20,Dom,"
If they just do more remakes in this quality
so i could die someday as a happy man.",Recommended," January 28, 2019"
21,Ser Left'Click,"
Mr.X gonna give it to ya.",Recommended," January 30, 2019"
22,😂mag,"
A better remake than I could have possibly hoped for. Absolutely perfect in every way. Stays true to the original, while switching things up just enough so that it's not stale or predictable.

Also, original costumes + original soundtrack = nostalgia boner.

10/10",Recommended," February 18, 2019"
23,CyberLiquid,"
Optimized game?
✔
Fluid animations?
✔
Challenging gameplay?
✔
Interesting story?
✔",Recommended," January 25, 2019"
24,krozden182,"
All they need is listen to the fans, and they did. They put the good game mechanics and discard the bad from previous series. Combine all that, they created absolutely masterpiece game.

Developer make a tons of profit, gamer satisfied, and everyone happy.",Recommended, February 29
25,Sniper Wolf,"
This game elevates the Resident Evil series to the same level of quality as the Metal Gear Series. I mean I’ve loved Resident Evil since Playstation One but the series has been a mixed bag in terms of quality design.

Resident Evil 2 Remake is on a genius level though and it’s easily the best made game in the whole series. Other high points in the series include well known, high quality games such as Resident Evil 4.

However this game is on a whole other level of expert design and quality decision making. The dedication to honouring the original is admirable while managing to also push the series forward to new levels of greatness.

The first 3 Resident Evil games on the PS1 were so cool back in the 90’s, when I was a kid. The quality horror mixed with the silliness of the dialogue and characters were great.

Then Resident Evil 4 came along and knocked it out of the park again by innovating while maintaining the entertaining, silly tone of the series. After that we had some dodgy games thrown in which varied from okay to absolute crap.

By combining what was great from the past with an incredible new design, this game is the best one in the series. I want to see the same team remake Resident Evil 1 and 3 with the exact same level of dedication and quality design.

Resident Evil 2 Remake is a major success for this series and for video games in general. I highly recommend that everybody show their support for the developers and buy this game.

It is fantastic!",Recommended," February 7, 2019"
26,Ali Bomaye,"
34 year old man writing.

I've watched a lot of horror movies throughout my life. Most of them alone during the dark. I've always been scared throughout every movie, but after I finish them, I feel silly for being scared...

I've also played a lot of horror games. Some during the day. The ones that comes to mind as being most scary is probably dead space and one of the older doom games. To be honest, both those games had scary moments in them, but even so, I found myself enjoying them more than being scared.

The most scary thing I do, is probably listen to true crime podcasts, while walking my dog through a forest nearby my home during dark. I always end up watching my back, and take the same short path out of the forest quickly after entering it.

Finally, before actually reviewing the game - I'm an engineer, atheist, husband and a dad - so no, I don't believe in any mumbo jumbo, and I'm the one who gets up during the night when my family hears a noise. So, to say the least - I don't scare easily and I never have.

This game...

Let me put it this way. My heart rate went through the roof, from start to finish. I never relaxed, not a second. So, I had to stop playing and come back to it several times, in order not to suffer a heart seizure. Around 2 hours into the game, I wanted it to be over. Because I wasn't enjoying it. I never did! How could I? I was freaking frightened out of my mind every single second! It was pure torture!!! And I kept wondering, why I put myself through this the whole time.

I tell you why. Because RE2 is like the scariest roller coaster you’ll find. It's something you need to experience, even though you'll regret it during the entire ride. Because once it's over, you can be proud that you didn’t cower away from the challenge! I guess to complete the picture, the roller coaster lasts for several hours, and once you think you completed it – there is a “second” ride... (you get to play the story all over again, but with a different take). Hell NO!

My ratings of this game – 10/10. CAPCOM really went above and beyond. It’s so obvious that no shortcuts were taken, no corners were cut. This game was made with great care, and it shows, as every aspect is incredibly well polished. If I have to point to anything negative it’s probably that I won’t be able to resist the next RE game that CAPCOM releases... and trust me, I HATE THEM FOR IT!",Recommended," May 30, 2019"
27,Barrel,"
don't make my mistake
those 5 clips you get early game for your pistol is for 2hours gameplay and it doesn't mean you should waste them on every zombie you see
10/10 would spend 2hours out of ammo only with only 3 flash grenade again",Recommended," January 27, 2019"
28,Friendly Caique,"
Jan 25, 2019
Bought RESIDENT EVIL 2 Remake, what a day!! I guess i can sleep well tonight

Jan 26, 2019
I've been playing it non stop for a whole day.. What the hell is happening to me??!

4.
Itchy.
Tasty.",Recommended," January 27, 2019"
29,Mojo,"
---{Gameplay}---
☐ Try not to get addicted
☑️ Very good
☐ Good
☐ Average
☐ Nothing special
☐ Ehh
☐ Bad
☐ Just don't

---{Story}---
☐ Will make you cry or smile a lot
☑️ Lovely
☐ Good
☐ Average
☐ Nothing Special
☐ Ehh
☐ Bad
☐ Awful

---{Graphics}---
☐ You forget reality
☑️ Masterpiece
☐ Beautiful
☐ Good
☐ Decent
☐ Will do
☐ Bad
☐ Awful
☐ Paint.exe

---{Audio}---
☐ Eargasm
☑️ Very good
☐ Good
☐ Decent
☐ Not too bad
☐ Bad
☐ Earrape

---{Difficulity}---
☐ Just press a bunch of buttons
☐ Easy
☐ Significant brain usage
☐ Easy to Learn / Hard to Master
☐ Not so easy
☑️ Difficult
☐ Dark Souls

---{Grind}---
☑️ Nothing
☐ Only if you care about leaderboards/ranks
☐ Isn't necessary to progress
☐ A bit grindy sometimes
☐ Average grind level
☐ A bit grindy
☐ Insanity

---{Game Time}---
☐ Long enough for a cup of tea
☑️ Short
☐ Average
☐ Long
☐ Depends on you
☐ Endless

---{Bugs}---
☑️ Never had any
☐ Minor bugs
☐ Few bugs
☐ Can get annoying
☐ Ruining the game
☐ The game itself is a big terrarium for bugs

---{Audience}---
☐ Kids
☐ Teens
☑️ Adults
☐ Everyone

---{PC Requirements}---
☐ Check if you can run paint
☐ Potato
☐ Decent
☑️ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{Price}---
☐ Just buy it
☑️ Worth the price
☐ Wait for sale
☐ Maybe if you have some spare money left
☐ Not recommended
☐ Don't throw money into a rubbish bin",Recommended, April 11
30,thit,"
It's the summer sale.
Buy the game now, you will not regret it.
Even when the game is off sale, it's worth it.
It's terrifying, intense, and fun.
I love it.",Recommended," June 27, 2019"
31,Adravil,"
My Childhood has been restored! Thank you CAPCOM <3",Recommended," January 25, 2019"
32,VirgoLancer,"
A FREAKING OFFLINE GAME THAT HOLDS MY ATTENTION FOR 200HRS+
THAT GOTTA TELL SOMETHING PEOPLE
*caps lock on purpose*",Recommended," April 14, 2019"
33,zuppaclub,"
I could feel it, capcom pour their love, heart, and soul when making RE2 remake.

amazing job capcom.

now I want RE3 remake , dino crisis remake, and onimusha remake. :3",Recommended," March 2, 2019"
34,SkinnyNoob18,"
I love horror survival games and this one just takes my breath away. Graphics are stunning, jump scares are awesome, gameplay is amazing and mr. x is annoying af with his heavy steps lmao.
Hands down the best remake of a game ever.

pls Capcom... make a remake of re3.",Recommended," December 1, 2019"
35,Gaston Beton,"
Let me keep it short: The Resi 2 remake has rekindled my faith in video games.

I've been playing since the early 80s and lately my love for the medium had gotten kind of stale. Then along came this one: A righteous, thrilling, old-school, no-nonsense, rock 'em, sock 'em adventure. It's super-gory, it's challenging, it's hardcore. There's no irony, no tongue-in-cheek fan-service, no memes, no bullcrap. After completing this game, you'll feel as though you'd had a dark, horrifying yet incredibly exciting dream. This is what video games are all about.

This is as real as it gets.",Recommended," February 1, 2019"
36,GmanLives,"
Product received for free

Survival Horror is back!

This is not quite as faithful of a remake as the Resident Evil 1 remake was, but it's still really, really good.

Pros:
Amazing visuals and sound.
Really gory and violent.
Old school RE level design and puzzles.
Comes with the original outfits for Claire & Leon.
Mr X is wearing a fedora.
Hardcore mode offers up a genuine challenge.
Lots of replayability.



Full video review:",Recommended," January 25, 2019"
37,Nrhildija Kogshu,"
Introduction

Resident Evil 2 is a remake of the original version and as a remake, there are a couple of differences between this newer version and the old one. One such difference is that this version opts to use the third person camera angle since it's alternative take that's fresh and fun. Others could be that there is no need to use ink ribbons on difficulties below hardcore and that they have created an atmosphere that is felt with tension. New enemies can appear in previously explored rooms while others will continually chase the players during most of the game. I think that Resident Evil 2 is trying to mix together aspects of the original with elements of RE 3 and RE 7. This is brilliant.

Gameplay

The gameplay is very solid and creative with the player having several options to manipulate rooms or enemies. The player can use a knife to cut zombies legs to incapacitate them in order to save ammunition or use the environment to escape chases more easily like with stairs in which zombies are slower or wooden barricades to slow down the horde. Weapons have a kick to them which makes them more enjoyable to use yet enemies are quite resilient to them, the player knows that their weapons can kill enemies with ease for the most part but they will eat all the ammunition fast. Classic Resident Evil games tend to have one particular element that decides if a run ends in success or failure and that is item management. However, do note that this version is more forgiving than it's previous ones.


The story remains the same for the most part, with small changes present that don't alter the take of the original. The developers did a pretty good job when it comes optimization as graphics cards such as GTX 1060 or 1070 will manage to run at 60+ FPS with everything on high/ultra. The game takes on a more darker-wet approach as areas feel desolated, murky, and with hidden dangers lurking around. While it borrows elements for newer entries, it still remains true to the original in most aspects.


The RE 7 style graphics are beautiful and breathtaking at times and the chases that happen through the main story keep the players focused, scared, wary and on their toes for the most part. Enemies had become even more dangerous than ever and even the simplest ones such as normal zombies or dogs are able to take you down with ease if you give them the chance. This game is a perfect quality title which everyone can play and enjoy, old fans will be in awe at the chance of reliving one of the best games ever made and new ones will have the chance to enjoy a classic revamped to their liking.


+ Revamped for new players, remade for old ones.
+ Adopts elements from newer entries with ease, making them it's own.
+ Has a good amount of base content and will get even more with free DLC.
+ 4th Survivor mode for all of those that love speedrunning and chewing more than they can bite.
+ 2nd run keeps the game fresh even after beating it. Remixing enemies, item placement and more.
+ Dynamic difficulty, it becomes ruthless if you are doing well and forgiving if you are having a hard time.
+ Superb graphics make the game look astounding, details give life to its creatures and surroundings.
+ Extremely dangerous enemies will chase the player through rooms, creating an atmosphere of tension and keeping players on their toes at all times.

- Some puzzles can be bananas to solve without a guide.
- William Birkin encounters are a disappointment in contrast to Mr. X.
- Lacks bosses, while there are some they sometimes get repeated and it feels like it should have more variety.
- Last bosses are rushed, they lack momentum and could have used a little more time to develop more tension.


Resident Evil 2 is a spectacular game and one in which it is hard for me to find any major weak points or cons. All I can think of it are good things due to its perfect balance and mastery over keeping alive it's true essence while adapting to modern times. I consider it to be a masterpiece in its own merit and must get game for every gamer who wants to enjoy a spectacular game.",Recommended," January 30, 2019"
38,Ram,"
This game is a pure MASTERPIECE.
I can recommend it to all horror , puzzel , story deep lovers out there.
I'm literally out of words on this game, and can only tell you to PLAY IT ASAP.
I enjoyed both stories a lot ,and had a bunch of fun playing them...
The game had a lot to offer in terms of story details and graphical beauty, to actions freedom.
I honestly think I said everything on this game and don't have any other thing to add on...
Lovely , interesting , challenging , and beautiful game! SUPER recommended!",Recommended," April 5, 2019"
